Embedding,Question_type,Best@5,MRR@10,nDCG@10,Hit@5,Recall@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio
bge-large-en-v1.5,GQ,1.0,1.0,0.5065267082131061,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.5797362356806025,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.7175795033019003,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,1.0,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.9086870682514951,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.9465778504142199,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.9864454785297619,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.5065267082131061,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.5864224010106703,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.6663180938082345,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.5827665746016472,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.5797362356806025,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.6663180938082345,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.792949770861511,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.9020243604942442,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.7135769373515951,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.6156012978458393,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.7651633321429206,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.8441659685387378,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.7507392118437523,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.6045023477188619,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.7175795033019003,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.9344036530753927,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.6954969906434034,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.16666666666666666,0.8291894603153676,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.7610359917664038,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.9752338879617406,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.8487148513495081,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.9020243604942442,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.9708211031648311,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.8402086144048716,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.9020243604942442,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.8324472018629541,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.7753926834409677,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.9811396373311051,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.8154425023666122,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.6045023477188619,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.9819200532918083,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.9922385874580825,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.5065267082131061,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.6156012978458393,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.8327721871606137,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.7687065181108999,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.25,0.2943890456540074,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.5065267082131061,1.0,0.2,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.8831639978253493,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.9397094942740496,1.0,1.0,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.6663180938082345,1.0,0.4,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.7058155248096776,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.7798963544352987,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.8728454636590752,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,0.0,0.0,0.5433187855911643,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.8545079602778286,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,1.0,0.8269790782322932,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.5,0.6994778023500862,1.0,0.6,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.25,0.6460478783713755,1.0,0.8,25,25,1.0
bge-large-en-v1.5,GQ,1.0,0.3333333333333333,0.5827665746016472,1.0,0.6,25,25,1.0
