Embedding,Question_type,MRR@10,nDCG@10,num_chunks_retrieved_raw,num_chunks_retrieved_dedup,dedup_ratio,Best@1,Hit@1,Recall@1,Best@3,Hit@3,Recall@3,Best@5,Hit@5,Recall@5,Best@10,Hit@10,Recall@10,Best@25,Hit@25,Recall@25
all-MiniLM-L6-v2,GQ,0.25,0.598044210425296,25,15,0.6,0.0,1.0,0.2,0.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.6
all-MiniLM-L6-v2,GQ,0.0,0.17421550589429685,25,13,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.4,0.0,1.0,0.4
all-MiniLM-L6-v2,GQ,0.0,0.19928881659657144,25,13,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.4,0.0,1.0,0.4
all-MiniLM-L6-v2,GQ,0.14285714285714285,0.24205176353853186,25,14,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.4,1.0,1.0,0.6
all-MiniLM-L6-v2,GQ,0.0,0.15979138559512832,25,15,0.6,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.4
all-MiniLM-L6-v2,GQ,0.0,0.09021422696383823,25,16,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.2
all-MiniLM-L6-v2,GQ,0.0,0.32950322049509406,25,13,0.52,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.4,0.0,1.0,0.4
all-MiniLM-L6-v2,GQ,1.0,0.5065267082131061,25,15,0.6,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2,1.0,1.0,0.2
all-MiniLM-L6-v2,GQ,0.0,0.0,25,20,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
all-MiniLM-L6-v2,GQ,0.3333333333333333,0.4603135832450421,25,15,0.6,0.0,0.0,0.0,1.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.6
all-MiniLM-L6-v2,GQ,0.14285714285714285,0.5351609915170044,25,13,0.52,0.0,0.0,0.0,0.0,1.0,0.4,0.0,1.0,0.4,1.0,1.0,0.8,1.0,1.0,1.0
all-MiniLM-L6-v2,GQ,0.0,0.3264728815740496,25,14,0.56,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.4,0.0,1.0,0.4
all-MiniLM-L6-v2,GQ,0.2,0.35574266460663995,25,13,0.52,0.0,0.0,0.0,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.6
all-MiniLM-L6-v2,GQ,0.0,0.26808555926715816,25,14,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.6,0.0,1.0,0.6
all-MiniLM-L6-v2,GQ,0.0,0.4130547397016814,25,13,0.52,0.0,1.0,0.2,0.0,1.0,0.4,0.0,1.0,0.4,0.0,1.0,0.4,0.0,1.0,0.6
all-MiniLM-L6-v2,GQ,0.0,0.23570626668600975,25,15,0.6,0.0,0.0,0.0,0.0,1.0,0.2,0.0,1.0,0.4,0.0,1.0,0.4,0.0,1.0,0.4
all-MiniLM-L6-v2,GQ,0.0,0.16431681083308186,25,14,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,1.0,1.0,0.6
all-MiniLM-L6-v2,GQ,0.5,0.663060352260648,25,15,0.6,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.6
all-MiniLM-L6-v2,GQ,0.25,0.4714125333720195,25,13,0.52,0.0,1.0,0.2,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.6
all-MiniLM-L6-v2,GQ,0.5,0.6994778023500862,25,13,0.52,0.0,1.0,0.2,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.6
all-MiniLM-L6-v2,GQ,0.5,0.6460556527643062,25,14,0.56,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.6,1.0,1.0,0.8
all-MiniLM-L6-v2,GQ,0.5,0.5728461252968097,25,13,0.52,0.0,1.0,0.2,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.4,1.0,1.0,0.6
all-MiniLM-L6-v2,GQ,0.0,0.25326335410655304,25,14,0.56,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.2,0.0,1.0,0.4
